time,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,windspeed_10m_max,windgusts_10m_max,weathercode,timezone,city,lat,lng,country,population,population_proper,temperature_category,precipitation_category,wind_speed_category,is_rainy,risk_score
2026-09-15,28.7,21.7,0.0,0,11.0,31.0,45,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935,Warm,No Rain,Breeze,False,10
2026-09-16,25.9,21.0,0.0,0,14.0,36.4,45,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935,Warm,No Rain,Breeze,False,10
2026-09-17,25.8,19.9,0.0,0,11.7,33.5,3,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935,Warm,No Rain,Breeze,False,10
2026-09-18,26.3,18.6,0.0,3,14.0,36.4,45,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935,Warm,No Rain,Breeze,False,10
2026-09-19,27.0,19.9,0.0,0,12.4,33.5,45,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935,Warm,No Rain,Breeze,False,10
2026-09-20,31.8,21.5,0.0,0,11.6,29.9,2,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935,Hot,No Rain,Breeze,False,20
2026-09-21,30.3,21.6,0.0,0,13.6,36.0,2,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935,Hot,No Rain,Breeze,False,20
2026-09-15,30.2,21.5,0.0,0,13.2,31.3,0,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428,Hot,No Rain,Breeze,False,20
2026-09-16,26.7,18.2,0.0,0,19.0,44.6,3,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428,Warm,No Rain,Breeze,False,10
2026-09-17,26.1,16.6,0.0,0,12.0,28.8,3,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428,Warm,No Rain,Breeze,False,10
2026-09-18,28.4,20.3,0.0,8,18.3,44.3,3,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428,Warm,No Rain,Breeze,False,10
2026-09-19,27.7,21.9,0.0,0,31.1,73.8,1,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428,Warm,No Rain,Strong Wind,False,30
2026-09-20,25.5,22.6,0.0,0,45.7,88.2,2,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428,Warm,No Rain,Gale,False,10
2026-09-21,25.6,21.9,0.0,0,42.9,80.6,2,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428,Warm,No Rain,Gale,False,10
2026-09-15,34.5,23.8,0.0,0,14.7,37.8,1,GMT+1,Fès,34.0433,-5.0033,Morocco,1167842,1167842,Hot,No Rain,Breeze,False,20
2026-09-16,31.1,20.7,0.0,0,16.9,40.7,1,GMT+1,Fès,34.0433,-5.0033,Morocco,1167842,1167842,Hot,No Rain,Breeze,False,20
2026-09-17,29.5,18.7,0.0,5,11.7,31.3,3,GMT+1,Fès,34.0433,-5.0033,Morocco,1167842,1167842,Warm,No Rain,Breeze,False,10
2026-09-18,31.2,18.3,0.0,5,9.1,24.5,3,GMT+1,Fès,34.0433,-5.0033,Morocco,1167842,1167842,Hot,No Rain,Calm,False,20
2026-09-19,33.7,21.0,0.0,0,16.9,44.6,1,GMT+1,Fès,34.0433,-5.0033,Morocco,1167842,1167842,Hot,No Rain,Breeze,False,20
2026-09-20,33.9,21.9,0.0,0,20.0,48.6,1,GMT+1,Fès,34.0433,-5.0033,Morocco,1167842,1167842,Hot,No Rain,Breeze,False,20
2026-09-21,33.8,21.5,0.0,0,14.4,37.4,0,GMT+1,Fès,34.0433,-5.0033,Morocco,1167842,1167842,Hot,No Rain,Breeze,False,20
2026-09-15,37.1,25.6,0.0,3,11.9,39.6,3,GMT+1,Marrakech,31.6295,-7.9811,Morocco,1085330,1002697,Very Hot,No Rain,Breeze,False,20
2026-09-16,34.6,21.7,0.0,0,12.7,34.6,0,GMT+1,Marrakech,31.6295,-7.9811,Morocco,1085330,1002697,Hot,No Rain,Breeze,False,20
2026-09-17,30.5,19.1,0.0,0,9.6,27.7,3,GMT+1,Marrakech,31.6295,-7.9811,Morocco,1085330,1002697,Hot,No Rain,Calm,False,20
2026-09-18,31.7,19.2,0.0,8,7.3,25.6,1,GMT+1,Marrakech,31.6295,-7.9811,Morocco,1085330,1002697,Hot,No Rain,Calm,False,20
2026-09-19,36.3,20.8,0.0,3,7.5,23.8,2,GMT+1,Marrakech,31.6295,-7.9811,Morocco,1085330,1002697,Very Hot,No Rain,Calm,False,20
2026-09-20,39.0,23.7,0.0,3,14.7,24.8,3,GMT+1,Marrakech,31.6295,-7.9811,Morocco,1085330,1002697,Very Hot,No Rain,Breeze,False,20
2026-09-21,34.5,23.6,0.0,5,17.0,31.3,3,GMT+1,Marrakech,31.6295,-7.9811,Morocco,1085330,1002697,Hot,No Rain,Breeze,False,20
2026-09-15,28.1,21.6,0.0,0,12.1,31.7,45,GMT+1,Sale,34.05,-6.8167,Morocco,945101,945101,Warm,No Rain,Breeze,False,10
2026-09-16,26.1,20.8,0.0,0,15.0,37.4,3,GMT+1,Sale,34.05,-6.8167,Morocco,945101,945101,Warm,No Rain,Breeze,False,10
2026-09-17,26.3,19.6,0.0,0,12.0,31.7,3,GMT+1,Sale,34.05,-6.8167,Morocco,945101,945101,Warm,No Rain,Breeze,False,10
