time,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,windspeed_10m_max,windgusts_10m_max,weathercode,timezone,city,lat,lng,country,population,population_proper
2026-09-19,26.5,18.9,0.0,0,11.9,31.3,45,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935
2026-09-20,29.4,20.3,0.0,0,10.4,28.4,45,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935
2026-09-21,29.0,20.9,0.0,0,10.6,31.0,45,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935
2026-09-22,28.8,20.5,0.0,0,10.4,28.8,45,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935
2026-09-23,28.0,18.9,0.0,0,10.2,28.8,45,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935
2026-09-24,29.4,17.9,0.0,0,11.3,30.2,45,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935
2026-09-25,26.5,20.0,0.0,0,12.0,33.1,45,GMT+1,Casablanca,33.5992,-7.62,Morocco,3950000,3215935
2026-09-19,27.6,22.9,0.0,0,32.1,76.0,2,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428
2026-09-20,28.5,23.9,0.0,0,29.9,74.9,2,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428
2026-09-21,28.8,22.8,0.0,0,27.9,66.6,1,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428
2026-09-22,28.2,21.4,0.0,0,24.3,57.6,1,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428
2026-09-23,28.8,20.9,0.0,0,22.1,43.6,1,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428
2026-09-24,28.0,22.5,0.0,0,24.9,45.7,1,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428
2026-09-25,24.8,18.3,0.0,0,10.1,20.9,45,GMT+1,Tangier,35.7767,-5.8039,Morocco,1275428,1275428
2026-09-19,33.7,21.2,0.0,5,17.5,41.0,2,GMT+1,Fès,34.0433,-5.0033,Morocco,1167842,1167842
2026-09-20,35.2,21.9,0.0,0,14.5,36.7,2,GMT+1,Fès,34.0433,-5.0033,Morocco,1167842,1167842
